CUPS;Tm;Fecha;E;A+;S1;A-;S2;Ri+;S3;Rc+;S4;Ri-;S5;Rc-;S6
ES0166000000150946BQ;2;01/01/22 00:15;I;13;16;0;0;1;0;0;0;0;0;0;0
ES0166000000150946BQ;2;01/01/22 00:30;I;14;0;0;0;1;0;0;0;0;0;0;0
ES0166000000150946BQ;2;01/01/22 00:45;I;15;0;0;0;2;0;0;0;0;0;0;0
ES0166000000150946BQ;2;01/01/22 01:00;I;13;0;0;0;2;0;0;0;0;0;0;0
ES0166000000150946BQ;2;01/01/22 23:00;I;14;0;0;0;1;0;0;0;0;0;0;0
ES0166000000150946BQ;2;01/01/22 23:15;I;14;0;0;0;2;0;0;0;0;0;0;0
ES0166000000150946BQ;2;01/01/22 23:30;I;14;0;0;0;2;0;0;0;0;0;0;0
ES0166000000150946BQ;2;01/01/22 23:45;I;15;0;0;0;2;0;0;0;0;0;0;0
ES0166000000150946BQ;2;02/01/22 00:00;I;14;0;0;0;2;0;0;0;0;0;0;0
ES0166000000240061EY;2;01/01/22 00:15;I;51;0;0;0;20;0;0;0;0;0;0;0
ES0166000000240061EY;2;01/01/22 23:45;I;54;0;0;0;19;0;0;0;0;0;0;0
ES0166000000240061EY;2;02/01/22 00:00;I;53;0;0;0;20;0;0;0;0;0;0;0
ES0166180000000338WR;2;01/01/22 00:15;I;;;;;;;;;;;;
ES0166180000000338WR;2;01/01/22 00:30;I;;;;;;;;;;;;
ES0166180000000338WR;2;01/01/22 00:45;I;;;;;;;;;;;;
ES0166180000000338WR;2;01/01/22 01:00;I;;;;;;;;;;;;
ES0166180000000338WR;2;01/01/22 23:00;I;;;;;;;;;;;;
ES0166180000000338WR;2;01/01/22 23:15;I;;;;;;;;;;;;
ES0166180000000338WR;2;01/01/22 23:30;I;;;;;;;;;;;;
ES0166180000000338WR;2;01/01/22 23:45;I;;;;;;;;;;;;
ES0166180000000338WR;2;02/01/22 00:00;I;;;;;;;;;;;;
ES0166000000151580QY;2;01/01/22 00:15;I;;;;;;;;;;;;
ES0166000000151580QY;2;01/01/22 00:30;I;;;;;;;;;;;;
ES0166000000151580QY;2;01/01/22 00:45;I;;;;;;;;;;;;
ES0166000000151580QY;2;01/01/22 01:00;I;;;;;;;;;;;;
ES0166000000151580QY;2;01/01/22 23:45;I;;;;;;;;;;;;
ES0166000000151580QY;2;02/01/22 00:00;I;;;;;;;;;;;;
579674;2;01/01/22 00:15;I;1239;0;0;0;0;0;0;0;0;0;547;0
579674;2;01/01/22 00:30;I;1217;0;0;0;0;0;0;0;0;0;574;0
579674;2;01/01/22 11:00;I;0;0;1195;0;0;0;0;0;553;0;0;0
